v5_1_id,source_row,domain,feature,description,implementation_directive,source_checkbox,v5_1_phase,v5_1_priority,v5_1_repo,backend_status,frontend_status,integration_status,e2e_status,product_accessibility,overall_status,product_value,launch_dependency,technical_dependencies,risk,effort,missing,recommended_wave,evidence_backend,evidence_frontend,evidence_tests
V51-039,40,Prestataires,Modifier profil prestataire,"Mettre à jour nom, catégorie, zone, description, photos.",PUT /vendors/me aligné frontend.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,VendorProfile; organizer-owned VendorRequest lifecycle; notification/email producers,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/vendors/vendors.controller.ts; vendors.service.ts; vendor.schema.ts,src/app/(dashboard)/tableau-de-bord/prestataire; src/features/vendors; public/prestataires,src/modules/vendors/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-040,41,Prestataires,Catalogue prestataires,Lister les prestataires actifs.,"Pagination, filtres catégorie/ville, isActive.",☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,VendorProfile; organizer-owned VendorRequest lifecycle; notification/email producers,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/vendors/vendors.controller.ts; vendors.service.ts; vendor.schema.ts,src/app/(dashboard)/tableau-de-bord/prestataire; src/features/vendors; public/prestataires,src/modules/vendors/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-041,42,Prestataires,Fiche prestataire,Afficher le profil public détaillé.,Server component + metadata SEO.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,VendorProfile; organizer-owned VendorRequest lifecycle; notification/email producers,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/vendors/vendors.controller.ts; vendors.service.ts; vendor.schema.ts,src/app/(dashboard)/tableau-de-bord/prestataire; src/features/vendors; public/prestataires,src/modules/vendors/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-042,43,Prestataires,Demande prestataire,Organisateur envoie une demande liée à un événement.,Vérifier ownership de l’événement.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,VendorProfile; organizer-owned VendorRequest lifecycle; notification/email producers,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/vendors/vendors.controller.ts; vendors.service.ts; vendor.schema.ts,src/app/(dashboard)/tableau-de-bord/prestataire; src/features/vendors; public/prestataires,src/modules/vendors/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-043,44,Prestataires,Réponse demande prestataire,Prestataire accepte ou refuse.,Transitions PENDING→ACCEPTED/DECLINED.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,VendorProfile; organizer-owned VendorRequest lifecycle; notification/email producers,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/vendors/vendors.controller.ts; vendors.service.ts; vendor.schema.ts,src/app/(dashboard)/tableau-de-bord/prestataire; src/features/vendors; public/prestataires,src/modules/vendors/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-044,45,Prestataires,Annuler demande prestataire,Organisateur annule une demande en attente.,Autoriser seulement statut PENDING.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,HIGH,DESIRABLE,VendorProfile; organizer-owned VendorRequest lifecycle; notification/email producers,LOW,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/vendors/vendors.controller.ts; vendors.service.ts; vendor.schema.ts,src/app/(dashboard)/tableau-de-bord/prestataire; src/features/vendors; public/prestataires,src/modules/vendors/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-045,46,Prestataires,Demandes reçues prestataire,Dashboard des demandes à traiter.,UI avec réponse inline.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,HIGH,DESIRABLE,VendorProfile; organizer-owned VendorRequest lifecycle; notification/email producers,LOW,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/vendors/vendors.controller.ts; vendors.service.ts; vendor.schema.ts,src/app/(dashboard)/tableau-de-bord/prestataire; src/features/vendors; public/prestataires,src/modules/vendors/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-046,47,Prestataires,Demandes par événement,Voir les prestataires sollicités pour un événement.,Endpoint listByEvent avec ownership.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,HIGH,DESIRABLE,VendorProfile; organizer-owned VendorRequest lifecycle; notification/email producers,LOW,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/vendors/vendors.controller.ts; vendors.service.ts; vendor.schema.ts,src/app/(dashboard)/tableau-de-bord/prestataire; src/features/vendors; public/prestataires,src/modules/vendors/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-047,48,Prestataires,Prestataire manuel,Ajouter un prestataire hors plateforme.,Source manual + externalContact.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,PARTIALLY_INTEGRATED,E2E_PARTIAL,ROLE_ACCESSIBLE,PARTIAL,HIGH,DESIRABLE,VendorProfile; organizer-owned VendorRequest lifecycle; notification/email producers,LOW,M,"Manual external provider requests exist, but the external lifecycle is limited.",I — Event operations completion,src/modules/vendors/vendors.controller.ts; vendors.service.ts; vendor.schema.ts,src/app/(dashboard)/tableau-de-bord/prestataire; src/features/vendors; public/prestataires,src/modules/vendors/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-048,49,Prestataires,Prestataire externe confirmé,Rattacher un prestataire déjà engagé.,Source external sans invitation obligatoire.,☐,MVP,Haute,API/Web,BACKEND_ABSENT,FRONTEND_ABSENT,NOT_INTEGRATED,NO_TEST,NOT_ACCESSIBLE,ABSENT,HIGH,DESIRABLE,VendorProfile; organizer-owned VendorRequest lifecycle; notification/email producers,MEDIUM,L,No explicit confirmation/conversion state turns an external provider into a platform provider.,I — Event operations completion,src/modules/vendors/vendors.controller.ts; vendors.service.ts; vendor.schema.ts,src/app/(dashboard)/tableau-de-bord/prestataire; src/features/vendors; public/prestataires,src/modules/vendors/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-049,50,Prestataires,Invitation prestataire,Inviter un prestataire hors plateforme à rejoindre Elintys.,Email token + préremplissage inscription.,☐,MVP,Haute,API/Web,BACKEND_PARTIAL,FRONTEND_PARTIAL,PARTIALLY_INTEGRATED,E2E_PARTIAL,ROLE_ACCESSIBLE,PARTIAL,HIGH,DESIRABLE,VendorProfile; organizer-owned VendorRequest lifecycle; notification/email producers,LOW,M,"An email can be sent with a request, but there is no dedicated secure vendor invitation acceptance journey.",I — Event operations completion,src/modules/vendors/vendors.controller.ts; vendors.service.ts; vendor.schema.ts,src/app/(dashboard)/tableau-de-bord/prestataire; src/features/vendors; public/prestataires,src/modules/vendors/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-050,51,Lieux,Créer profil lieu,Créer une fiche lieu par gestionnaire.,"DTO adresse, capacité, équipements, prix.",☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,VenueProfile; organizer-owned booking lifecycle; notification/email producers,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/venues/venues.controller.ts; venues.service.ts; venue.schema.ts,src/app/(dashboard)/tableau-de-bord/gestionnaire; src/features/venues; public/lieux,src/modules/venues/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-051,52,Lieux,Modifier profil lieu,Mettre à jour les informations du lieu.,PUT /venues/me aligné frontend.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,VenueProfile; organizer-owned booking lifecycle; notification/email producers,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/venues/venues.controller.ts; venues.service.ts; venue.schema.ts,src/app/(dashboard)/tableau-de-bord/gestionnaire; src/features/venues; public/lieux,src/modules/venues/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-052,53,Lieux,Catalogue lieux,Lister les lieux actifs.,"Pagination, filtres ville/capacité.",☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,VenueProfile; organizer-owned booking lifecycle; notification/email producers,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/venues/venues.controller.ts; venues.service.ts; venue.schema.ts,src/app/(dashboard)/tableau-de-bord/gestionnaire; src/features/venues; public/lieux,src/modules/venues/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-053,54,Lieux,Fiche lieu,Afficher détail public d’un lieu.,Metadata SEO et images.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,VenueProfile; organizer-owned booking lifecycle; notification/email producers,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/venues/venues.controller.ts; venues.service.ts; venue.schema.ts,src/app/(dashboard)/tableau-de-bord/gestionnaire; src/features/venues; public/lieux,src/modules/venues/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-054,55,Lieux,Demande réservation lieu,Organisateur demande un lieu pour un événement.,Vérifier ownership événement.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,VenueProfile; organizer-owned booking lifecycle; notification/email producers,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/venues/venues.controller.ts; venues.service.ts; venue.schema.ts,src/app/(dashboard)/tableau-de-bord/gestionnaire; src/features/venues; public/lieux,src/modules/venues/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-055,56,Lieux,Réponse réservation lieu,Gestionnaire confirme ou refuse.,Transitions contrôlées.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,VenueProfile; organizer-owned booking lifecycle; notification/email producers,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/venues/venues.controller.ts; venues.service.ts; venue.schema.ts,src/app/(dashboard)/tableau-de-bord/gestionnaire; src/features/venues; public/lieux,src/modules/venues/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-056,57,Lieux,Réservations reçues,Dashboard gestionnaire de lieu.,UI avec réponse inline.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,HIGH,DESIRABLE,VenueProfile; organizer-owned booking lifecycle; notification/email producers,LOW,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/venues/venues.controller.ts; venues.service.ts; venue.schema.ts,src/app/(dashboard)/tableau-de-bord/gestionnaire; src/features/venues; public/lieux,src/modules/venues/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-057,58,Lieux,Réservations par événement,Voir les demandes de lieu d’un événement.,Endpoint listByEvent avec ownership.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,HIGH,DESIRABLE,VenueProfile; organizer-owned booking lifecycle; notification/email producers,LOW,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/venues/venues.controller.ts; venues.service.ts; venue.schema.ts,src/app/(dashboard)/tableau-de-bord/gestionnaire; src/features/venues; public/lieux,src/modules/venues/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-058,59,Lieux,Lieu manuel,Ajouter un lieu hors plateforme.,Source manual + contact externe.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,HIGH,DESIRABLE,VenueProfile; organizer-owned booking lifecycle; notification/email producers,LOW,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/venues/venues.controller.ts; venues.service.ts; venue.schema.ts,src/app/(dashboard)/tableau-de-bord/gestionnaire; src/features/venues; public/lieux,src/modules/venues/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-059,60,Lieux,Lieu externe confirmé,Rattacher un lieu déjà réservé.,Source external informatif.,☐,MVP,Haute,API/Web,BACKEND_ABSENT,FRONTEND_ABSENT,NOT_INTEGRATED,NO_TEST,NOT_ACCESSIBLE,ABSENT,HIGH,DESIRABLE,VenueProfile; organizer-owned booking lifecycle; notification/email producers,MEDIUM,L,No explicit confirmation/conversion lifecycle for an external manual venue.,I — Event operations completion,src/modules/venues/venues.controller.ts; venues.service.ts; venue.schema.ts,src/app/(dashboard)/tableau-de-bord/gestionnaire; src/features/venues; public/lieux,src/modules/venues/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-060,61,Lieux,Photos lieu,Gérer les images du lieu.,"Upload Cloudinary, ordre, suppression.",☐,MVP,Haute,API/Web,BACKEND_PARTIAL,FRONTEND_PARTIAL,PARTIALLY_INTEGRATED,UNIT_ONLY,ROLE_ACCESSIBLE,PARTIAL,HIGH,DESIRABLE,VenueProfile; organizer-owned booking lifecycle; notification/email producers,LOW,M,"Photo fields exist, but no dedicated owned Cloudinary venue-media workflow is exposed.",I — Event operations completion,src/modules/venues/venues.controller.ts; venues.service.ts; venue.schema.ts,src/app/(dashboard)/tableau-de-bord/gestionnaire; src/features/venues; public/lieux,src/modules/venues/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-061,62,Lieux,Équipements lieu,Définir équipements et commodités.,Liste normalisée et filtres.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,HIGH,DESIRABLE,VenueProfile; organizer-owned booking lifecycle; notification/email producers,LOW,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/venues/venues.controller.ts; venues.service.ts; venue.schema.ts,src/app/(dashboard)/tableau-de-bord/gestionnaire; src/features/venues; public/lieux,src/modules/venues/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-062,63,Lieux,Capacité et prix,Afficher capacité et tarif jour.,Validation min/max et devise CAD.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,HIGH,DESIRABLE,VenueProfile; organizer-owned booking lifecycle; notification/email producers,LOW,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/venues/venues.controller.ts; venues.service.ts; venue.schema.ts,src/app/(dashboard)/tableau-de-bord/gestionnaire; src/features/venues; public/lieux,src/modules/venues/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-063,64,Lieux,Calendrier disponibilités,Gérer disponibilité par créneau.,"Phase 2, calendrier propriétaire.",☐,MVP,Haute,API/Web,BACKEND_ABSENT,FRONTEND_PLACEHOLDER,NOT_INTEGRATED,WEB_COMPONENT_ONLY,PLACEHOLDER,PLACEHOLDER,HIGH,DESIRABLE,VenueProfile; organizer-owned booking lifecycle; notification/email producers,LOW,M,Calendar route is an honest placeholder and no availability domain exists.,I — Venue availability,src/modules/venues/venues.controller.ts; venues.service.ts; venue.schema.ts,src/app/(dashboard)/tableau-de-bord/gestionnaire; src/features/venues; public/lieux,src/modules/venues/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
V51-064,65,Billetterie,Créer type de billet,"Définir billet standard, VIP ou gratuit.",Contrôler ownership événement.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event admission configuration; TicketType inventory; atomic issuance/scan,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/tickets; src/modules/tickets/orders,src/components/tickets; src/features/tickets; src/app/(dashboard)/billetterie; src/app/(scan),src/modules/tickets/**/*.spec.ts; test/ticket-orders.e2e-spec.ts; sprint3-wave4-participant.spec.ts; wave-a-scan.spec.ts
V51-065,66,Billetterie,Modifier type de billet,"Mettre à jour prix, stock, dates de vente.",Refuser incohérences avec billets vendus.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event admission configuration; TicketType inventory; atomic issuance/scan,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/tickets; src/modules/tickets/orders,src/components/tickets; src/features/tickets; src/app/(dashboard)/billetterie; src/app/(scan),src/modules/tickets/**/*.spec.ts; test/ticket-orders.e2e-spec.ts; sprint3-wave4-participant.spec.ts; wave-a-scan.spec.ts
V51-066,67,Billetterie,Supprimer type de billet,Supprimer si aucun billet vendu.,Contrôle relation tickets.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event admission configuration; TicketType inventory; atomic issuance/scan,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/tickets; src/modules/tickets/orders,src/components/tickets; src/features/tickets; src/app/(dashboard)/billetterie; src/app/(scan),src/modules/tickets/**/*.spec.ts; test/ticket-orders.e2e-spec.ts; sprint3-wave4-participant.spec.ts; wave-a-scan.spec.ts
V51-067,68,Billetterie,Lister types de billets,Afficher billets disponibles pour événement.,Route alignée Web/API.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event admission configuration; TicketType inventory; atomic issuance/scan,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/tickets; src/modules/tickets/orders,src/components/tickets; src/features/tickets; src/app/(dashboard)/billetterie; src/app/(scan),src/modules/tickets/**/*.spec.ts; test/ticket-orders.e2e-spec.ts; sprint3-wave4-participant.spec.ts; wave-a-scan.spec.ts
V51-068,69,Billetterie,Achat billet gratuit,Acheter un billet gratuit.,Route publique avec guest checkout possible.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event admission configuration; TicketType inventory; atomic issuance/scan,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/tickets; src/modules/tickets/orders,src/components/tickets; src/features/tickets; src/app/(dashboard)/billetterie; src/app/(scan),src/modules/tickets/**/*.spec.ts; test/ticket-orders.e2e-spec.ts; sprint3-wave4-participant.spec.ts; wave-a-scan.spec.ts
V51-069,70,Billetterie,Achat billet payant,Créer session Stripe Checkout.,"Route publique, validation stock avant checkout.",☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,PARTIALLY_INTEGRATED,E2E_PARTIAL,ROLE_ACCESSIBLE,PARTIAL,CRITICAL,BLOCKER,Event admission configuration; TicketType inventory; atomic issuance/scan,HIGH,M,"Paid order core and UI exist, but the real external buyer-to-ticket PayPal flow was not executed.",K — Payment Readiness,src/modules/tickets; src/modules/tickets/orders,src/components/tickets; src/features/tickets; src/app/(dashboard)/billetterie; src/app/(scan),src/modules/tickets/**/*.spec.ts; test/ticket-orders.e2e-spec.ts; sprint3-wave4-participant.spec.ts; wave-a-scan.spec.ts
V51-070,71,Billetterie,Achat invité,Acheter sans compte avec nom et email.,"buyerId nullable, guestEmail/guestName requis.",☐,MVP,Critique,API/Web,BACKEND_PARTIAL,FRONTEND_ABSENT,NOT_INTEGRATED,UNIT_ONLY,NOT_ACCESSIBLE,PARTIAL,HIGH,DESIRABLE,Event admission configuration; TicketType inventory; atomic issuance/scan,LOW,M,"Legacy models support guest email, but current ticket-order and free-ticket endpoints require authentication.",K — Payment readiness & ticket operations,src/modules/tickets; src/modules/tickets/orders,src/components/tickets; src/features/tickets; src/app/(dashboard)/billetterie; src/app/(scan),src/modules/tickets/**/*.spec.ts; test/ticket-orders.e2e-spec.ts; sprint3-wave4-participant.spec.ts; wave-a-scan.spec.ts
V51-071,72,Billetterie,Rattachement achat invité,Relier billets invités au compte lors du login.,linkGuestPurchases par email vérifié.,☐,MVP,Critique,API/Web,BACKEND_PARTIAL,FRONTEND_ABSENT,NOT_INTEGRATED,UNIT_ONLY,NOT_ACCESSIBLE,PARTIAL,HIGH,DESIRABLE,Event admission configuration; TicketType inventory; atomic issuance/scan,LOW,M,"Linking guest purchases at registration exists, but no active guest checkout creates those purchases end to end.",K — Payment readiness & ticket operations,src/modules/tickets; src/modules/tickets/orders,src/components/tickets; src/features/tickets; src/app/(dashboard)/billetterie; src/app/(scan),src/modules/tickets/**/*.spec.ts; test/ticket-orders.e2e-spec.ts; sprint3-wave4-participant.spec.ts; wave-a-scan.spec.ts
V51-072,73,Billetterie,Génération QR code,Créer un QR unique par billet.,"UUID unique, jamais dans URL de scan.",☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event admission configuration; TicketType inventory; atomic issuance/scan,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/tickets; src/modules/tickets/orders,src/components/tickets; src/features/tickets; src/app/(dashboard)/billetterie; src/app/(scan),src/modules/tickets/**/*.spec.ts; test/ticket-orders.e2e-spec.ts; sprint3-wave4-participant.spec.ts; wave-a-scan.spec.ts
V51-073,74,Billetterie,Mes billets,Afficher billets achetés par participant.,Dashboard participant + QR.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event admission configuration; TicketType inventory; atomic issuance/scan,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/tickets; src/modules/tickets/orders,src/components/tickets; src/features/tickets; src/app/(dashboard)/billetterie; src/app/(scan),src/modules/tickets/**/*.spec.ts; test/ticket-orders.e2e-spec.ts; sprint3-wave4-participant.spec.ts; wave-a-scan.spec.ts
V51-074,75,Billetterie,Scan QR API,Valider un billet à l’entrée.,"POST body {qrCode}, statut used idempotent.",☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event admission configuration; TicketType inventory; atomic issuance/scan,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/tickets; src/modules/tickets/orders,src/components/tickets; src/features/tickets; src/app/(dashboard)/billetterie; src/app/(scan),src/modules/tickets/**/*.spec.ts; test/ticket-orders.e2e-spec.ts; sprint3-wave4-participant.spec.ts; wave-a-scan.spec.ts
V51-075,76,Billetterie,Scan QR Web,Scanner depuis navigateur web si supporté.,BarcodeDetector avec fallback ou message clair.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event admission configuration; TicketType inventory; atomic issuance/scan,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/tickets; src/modules/tickets/orders,src/components/tickets; src/features/tickets; src/app/(dashboard)/billetterie; src/app/(scan),src/modules/tickets/**/*.spec.ts; test/ticket-orders.e2e-spec.ts; sprint3-wave4-participant.spec.ts; wave-a-scan.spec.ts
V51-076,77,Billetterie,Scan QR mobile natif,Scanner via app mobile React Native.,"Phase 2/3, caméra native.",☐,MVP,Critique,API/Web,BACKEND_ABSENT,FRONTEND_ABSENT,NOT_INTEGRATED,NO_TEST,NOT_ACCESSIBLE,DEFERRED,HIGH,DESIRABLE,Event admission configuration; TicketType inventory; atomic issuance/scan,LOW,XL,No React Native application exists.,Phase 3 — Native mobile,src/modules/tickets; src/modules/tickets/orders,src/components/tickets; src/features/tickets; src/app/(dashboard)/billetterie; src/app/(scan),src/modules/tickets/**/*.spec.ts; test/ticket-orders.e2e-spec.ts; sprint3-wave4-participant.spec.ts; wave-a-scan.spec.ts
V51-077,78,Billetterie,Historique scan,Afficher date/heure de premier scan.,Retourner état déjà utilisé.,☐,MVP,Critique,API/Web,BACKEND_PARTIAL,FRONTEND_ABSENT,NOT_INTEGRATED,UNIT_ONLY,NOT_ACCESSIBLE,PARTIAL,HIGH,DESIRABLE,Event admission configuration; TicketType inventory; atomic issuance/scan,LOW,M,"Scan timestamps are persisted, but no scan-history endpoint or UI exists.",K — Payment readiness & ticket operations,src/modules/tickets; src/modules/tickets/orders,src/components/tickets; src/features/tickets; src/app/(dashboard)/billetterie; src/app/(scan),src/modules/tickets/**/*.spec.ts; test/ticket-orders.e2e-spec.ts; sprint3-wave4-participant.spec.ts; wave-a-scan.spec.ts
V51-078,79,Billetterie,Billet remboursé,Bloquer scan d’un billet remboursé.,Statut refunded + message explicite.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_PARTIAL,PARTIALLY_INTEGRATED,UNIT_ONLY,ROLE_ACCESSIBLE,PARTIAL,HIGH,DESIRABLE,Event admission configuration; TicketType inventory; atomic issuance/scan,LOW,M,"Refund API/status exists, but no organizer refund UI or external refund readiness is proven.",K — Payment readiness & ticket operations,src/modules/tickets; src/modules/tickets/orders,src/components/tickets; src/features/tickets; src/app/(dashboard)/billetterie; src/app/(scan),src/modules/tickets/**/*.spec.ts; test/ticket-orders.e2e-spec.ts; sprint3-wave4-participant.spec.ts; wave-a-scan.spec.ts
